epoch,train_loss,val_bce_loss,val_log_loss,val_benign_log_loss,val_standalone_log_loss,val_brier_score,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_roc_auc,val_pr_auc,val_f1,val_mcc,val_ece,val_benign_mean_score,val_standalone_mean_score,val_optimal_threshold,val_optimal_accuracy,val_optimal_f1,aug_val_bce_loss,aug_val_log_loss,aug_val_benign_log_loss,aug_val_standalone_log_loss,aug_val_brier_score,aug_val_accuracy,aug_val_balanced_accuracy,aug_val_precision,aug_val_recall,aug_val_roc_auc,aug_val_pr_auc,aug_val_f1,aug_val_mcc,aug_val_ece,aug_val_benign_mean_score,aug_val_standalone_mean_score,aug_val_optimal_threshold,aug_val_optimal_accuracy,aug_val_optimal_f1
35,0.655671,0.654251,0.654251,0.754966,0.553536,0.230816,0.500000,0.500000,0.500000,1.000000,0.979167,0.985169,0.666667,0.000000,0.068790,0.529838,0.575181,0.554205,0.958333,0.958333,0.652509,0.652509,0.751214,0.553803,0.229947,0.500000,0.500000,0.500000,1.000000,0.991319,0.992816,0.666667,0.000000,0.067713,0.528096,0.575013,0.555175,0.979167,0.978723
36,0.653846,0.648250,0.648250,0.732854,0.563645,0.227784,0.541667,0.541667,0.521739,1.000000,0.977431,0.983357,0.685714,0.208514,0.060782,0.519312,0.569465,0.546228,0.958333,0.958333,0.646398,0.646398,0.728819,0.563977,0.226858,0.541667,0.541667,0.521739,1.000000,0.993056,0.994048,0.685714,0.208514,0.059590,0.517397,0.569260,0.546751,0.979167,0.978723
37,0.648581,0.642745,0.642745,0.730337,0.555153,0.225090,0.541667,0.541667,0.521739,1.000000,0.977431,0.983357,0.685714,0.208514,0.095269,0.518065,0.574401,0.548399,0.958333,0.958333,0.640689,0.640689,0.725835,0.555542,0.224061,0.541667,0.541667,0.521739,1.000000,0.993056,0.994048,0.685714,0.208514,0.077407,0.515926,0.574158,0.548737,0.979167,0.978723
38,0.643963,0.643732,0.643732,0.598000,0.689465,0.225380,0.750000,0.750000,1.000000,0.500000,0.982639,0.986900,0.666667,0.577350,0.216211,0.449990,0.502293,0.476517,0.958333,0.958333,0.642150,0.642150,0.594404,0.689896,0.224597,0.770833,0.770833,1.000000,0.541667,0.994792,0.995370,0.702703,0.609449,0.235982,0.448027,0.502061,0.474876,0.979167,0.978723
39,0.635576,0.632417,0.632417,0.628411,0.636423,0.219718,0.958333,0.958333,0.958333,0.958333,0.982639,0.986900,0.958333,0.916667,0.425347,0.466392,0.529788,0.500085,0.958333,0.958333,0.630404,0.630404,0.623848,0.636959,0.218715,0.958333,0.958333,1.000000,0.916667,0.994792,0.995370,0.956522,0.919866,0.424371,0.463984,0.529482,0.497953,0.979167,0.978723
40,0.632803,0.636117,0.636117,0.832234,0.440000,0.223060,0.500000,0.500000,0.500000,1.000000,0.979167,0.985169,0.666667,0.000000,0.391283,0.564443,0.644749,0.608656,0.958333,0.958333,0.632700,0.632700,0.824935,0.440466,0.221376,0.500000,0.500000,0.500000,1.000000,0.991319,0.992816,0.666667,0.000000,0.390463,0.561344,0.644410,0.610005,0.979167,0.978723
41,0.627486,0.622082,0.622082,0.774763,0.469400,0.215707,0.500000,0.500000,0.500000,1.000000,0.979167,0.985169,0.666667,0.000000,0.352211,0.538693,0.626269,0.586394,0.958333,0.958333,0.618619,0.618619,0.767257,0.469982,0.213980,0.520833,0.520833,0.510638,1.000000,0.991319,0.992816,0.676056,0.145865,0.351107,0.535313,0.625861,0.586892,0.979167,0.978723
42,0.601012,0.612778,0.612778,0.566277,0.659280,0.210075,0.854167,0.854167,1.000000,0.708333,0.984375,0.988636,0.829268,0.740532,0.304461,0.432098,0.518397,0.476585,0.979167,0.978723,0.610309,0.610309,0.560536,0.660081,0.208863,0.812500,0.812500,1.000000,0.625000,0.994792,0.995370,0.769231,0.674200,0.261500,0.428879,0.517945,0.473575,0.979167,0.978723
43,0.594968,0.616993,0.616993,0.482103,0.751883,0.212790,0.625000,0.625000,1.000000,0.250000,0.987847,0.990591,0.400000,0.377964,0.377118,0.382281,0.472977,0.426454,0.979167,0.978723,0.614797,0.614797,0.476722,0.752873,0.211763,0.625000,0.625000,1.000000,0.250000,0.994792,0.995370,0.400000,0.377964,0.392995,0.378991,0.472467,0.423403,0.979167,0.978723
44,0.613204,0.603061,0.603061,0.484566,0.721557,0.205852,0.708333,0.708333,1.000000,0.416667,0.987847,0.990591,0.588235,0.512989,0.369606,0.383714,0.487892,0.435299,0.979167,0.978723,0.600529,0.600529,0.478384,0.722673,0.204664,0.708333,0.708333,1.000000,0.416667,0.994792,0.995370,0.588235,0.512989,0.385559,0.379953,0.487295,0.431660,0.979167,0.978723
