input_resolution,num_layers,column_group,column,status,success,failed,running,skipped_red,other,total,experiments
256,6,Quantization,W2A2,success,1,0,0,0,0,1,res256_layers6_W2A2_P0_RFbase
256,6,Quantization,W3A3,success,1,0,0,0,0,1,res256_layers6_W3A3_P0_RFbase
256,6,Quantization,W4A4,success,1,0,0,0,0,1,res256_layers6_W4A4_P0_RFbase
256,6,Quantization,W6A6,success,1,0,0,0,0,1,res256_layers6_W6A6_P0_RFbase
256,6,Quantization,W8A8,success,1,0,0,0,0,1,res256_layers6_W8A8_P0_RFbase
256,6,Pruning,P25,empty,0,0,0,0,0,0,
256,6,Pruning,P50,failed,0,1,0,0,0,1,res256_layers6_W8A8_P50_RFbase
256,6,Pruning,P75,empty,0,0,0,0,0,0,
256,6,Reuse Factor,RF1,empty,0,0,0,0,0,0,
256,6,Reuse Factor,RF2,empty,0,0,0,0,0,0,
256,6,Reuse Factor,RF4,empty,0,0,0,0,0,0,
256,6,Reuse Factor,RF8,empty,0,0,0,0,0,0,
256,6,Reuse Factor,RF16,empty,0,0,0,0,0,0,
256,6,Reuse Factor,RF32,empty,0,0,0,0,0,0,
256,7,Baseline,P1/2/3,success,1,0,0,0,0,1,res256_layers7_WfloatAfloat_P0_RFbase
256,7,Quantization,W2A2,empty,0,0,0,0,0,0,
256,7,Quantization,W3A3,empty,0,0,0,0,0,0,
256,7,Quantization,W4A4,empty,0,0,0,0,0,0,
256,7,Quantization,W6A6,empty,0,0,0,0,0,0,
256,7,Quantization,W8A8,success,1,0,0,0,0,1,res256_layers7_W8A8_P0_RFbase
256,7,Pruning,P25,empty,0,0,0,0,0,0,
256,7,Pruning,P50,failed,0,1,0,0,0,1,res256_layers7_W8A8_P50_RFbase
256,7,Pruning,P75,empty,0,0,0,0,0,0,
256,7,Reuse Factor,RF1,empty,0,0,0,0,0,0,
256,7,Reuse Factor,RF2,empty,0,0,0,0,0,0,
256,7,Reuse Factor,RF4,empty,0,0,0,0,0,0,
256,7,Reuse Factor,RF8,empty,0,0,0,0,0,0,
256,7,Reuse Factor,RF16,empty,0,0,0,0,0,0,
256,7,Reuse Factor,RF32,empty,0,0,0,0,0,0,
512,2,Baseline,P1/2/3,skipped_red,0,0,0,1,0,1,res512_layers2_WfloatAfloat_P0_RFbase
512,2,Quantization,W2A2,empty,0,0,0,0,0,0,
512,2,Quantization,W3A3,empty,0,0,0,0,0,0,
512,2,Quantization,W4A4,empty,0,0,0,0,0,0,
512,2,Quantization,W6A6,empty,0,0,0,0,0,0,
512,2,Quantization,W8A8,empty,0,0,0,0,0,0,
512,2,Pruning,P25,empty,0,0,0,0,0,0,
512,2,Pruning,P50,empty,0,0,0,0,0,0,
512,2,Pruning,P75,empty,0,0,0,0,0,0,
512,2,Reuse Factor,RF1,empty,0,0,0,0,0,0,
512,2,Reuse Factor,RF2,empty,0,0,0,0,0,0,
512,2,Reuse Factor,RF4,empty,0,0,0,0,0,0,
512,2,Reuse Factor,RF8,empty,0,0,0,0,0,0,
512,2,Reuse Factor,RF16,empty,0,0,0,0,0,0,
512,2,Reuse Factor,RF32,empty,0,0,0,0,0,0,
512,3,Baseline,P1/2/3,failed,0,1,0,0,0,1,res512_layers3_WfloatAfloat_P0_RFbase_boundary
512,3,Quantization,W2A2,empty,0,0,0,0,0,0,
512,3,Quantization,W3A3,empty,0,0,0,0,0,0,
512,3,Quantization,W4A4,empty,0,0,0,0,0,0,
512,3,Quantization,W6A6,empty,0,0,0,0,0,0,
512,3,Quantization,W8A8,empty,0,0,0,0,0,0,
512,3,Pruning,P25,empty,0,0,0,0,0,0,
512,3,Pruning,P50,empty,0,0,0,0,0,0,
512,3,Pruning,P75,empty,0,0,0,0,0,0,
512,3,Reuse Factor,RF1,empty,0,0,0,0,0,0,
512,3,Reuse Factor,RF2,empty,0,0,0,0,0,0,
512,3,Reuse Factor,RF4,empty,0,0,0,0,0,0,
512,3,Reuse Factor,RF8,empty,0,0,0,0,0,0,
512,3,Reuse Factor,RF16,empty,0,0,0,0,0,0,
512,3,Reuse Factor,RF32,empty,0,0,0,0,0,0,
512,4,Baseline,P1/2/3,success,1,0,0,0,0,1,res512_layers4_WfloatAfloat_P0_RFbase
512,4,Quantization,W2A2,success,1,0,0,0,0,1,res512_layers4_W2A2_P0_RFbase
512,4,Quantization,W3A3,success,1,0,0,0,0,1,res512_layers4_W3A3_P0_RFbase
512,4,Quantization,W4A4,success,1,0,0,0,0,1,res512_layers4_W4A4_P0_RFbase
512,4,Quantization,W6A6,success,1,0,0,0,0,1,res512_layers4_W6A6_P0_RFbase
512,4,Quantization,W8A8,success,1,0,0,0,0,1,res512_layers4_W8A8_P0_RFbase
512,4,Pruning,P25,success,1,0,0,0,0,1,res512_layers4_W8A8_P25_RFbase
512,4,Pruning,P50,success,1,0,0,0,0,1,res512_layers4_W8A8_P50_RFbase
512,4,Pruning,P75,success,1,0,0,0,0,1,res512_layers4_W8A8_P75_RFbase
512,4,Reuse Factor,RF1,empty,0,0,0,0,0,0,
512,4,Reuse Factor,RF2,empty,0,0,0,0,0,0,
512,4,Reuse Factor,RF4,empty,0,0,0,0,0,0,
512,4,Reuse Factor,RF8,empty,0,0,0,0,0,0,
512,4,Reuse Factor,RF16,empty,0,0,0,0,0,0,
512,4,Reuse Factor,RF32,empty,0,0,0,0,0,0,
512,5,Baseline,P1/2/3,success,1,0,0,0,0,1,res512_layers5_WfloatAfloat_P0_RFbase
512,5,Quantization,W2A2,success,1,0,0,0,0,1,res512_layers5_W2A2_P0_RFbase
512,5,Quantization,W3A3,success,1,0,0,0,0,1,res512_layers5_W3A3_P0_RFbase
512,5,Quantization,W4A4,success,1,0,0,0,0,1,res512_layers5_W4A4_P0_RFbase
512,5,Quantization,W6A6,success,1,0,0,0,0,1,res512_layers5_W6A6_P0_RFbase
512,5,Quantization,W8A8,success,1,0,0,0,0,1,res512_layers5_W8A8_P0_RFbase
512,5,Pruning,P25,failed,0,2,0,0,0,2,res512_layers5_W6A6_P25_RFbase;res512_layers5_W8A8_P25_RFbase
512,5,Pruning,P50,failed,0,2,0,0,0,2,res512_layers5_W6A6_P50_RFbase;res512_layers5_W8A8_P50_RFbase
512,5,Pruning,P75,failed,0,2,0,0,0,2,res512_layers5_W6A6_P75_RFbase;res512_layers5_W8A8_P75_RFbase
