epoch,train_loss,val_bce_loss,val_log_loss,val_benign_log_loss,val_standalone_log_loss,val_brier_score,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_roc_auc,val_pr_auc,val_f1,val_mcc,val_ece,val_benign_mean_score,val_standalone_mean_score,val_optimal_threshold,val_optimal_accuracy,val_optimal_f1,aug_val_bce_loss,aug_val_log_loss,aug_val_benign_log_loss,aug_val_standalone_log_loss,aug_val_brier_score,aug_val_accuracy,aug_val_balanced_accuracy,aug_val_precision,aug_val_recall,aug_val_roc_auc,aug_val_pr_auc,aug_val_f1,aug_val_mcc,aug_val_ece,aug_val_benign_mean_score,aug_val_standalone_mean_score,aug_val_optimal_threshold,aug_val_optimal_accuracy,aug_val_optimal_f1
44,0.631867,0.651028,0.651028,0.968546,0.319705,0.233574,0.489362,0.500000,0.489362,1.000000,0.998188,0.998188,0.657143,0.000000,0.340646,0.619627,0.727675,0.661642,0.978723,0.978723,0.653351,0.653351,0.970386,0.322532,0.234626,0.489362,0.500000,0.489362,1.000000,0.989130,0.989936,0.657143,0.000000,0.353391,0.620279,0.725789,0.664097,0.957447,0.954545
45,0.604415,0.590732,0.590732,0.734505,0.440709,0.201142,0.531915,0.541667,0.511111,1.000000,0.992754,0.992655,0.676471,0.206380,0.296404,0.519686,0.646250,0.555138,0.957447,0.958333,0.594459,0.594459,0.736517,0.446225,0.202979,0.595745,0.604167,0.547619,1.000000,0.981884,0.983571,0.707692,0.337768,0.313416,0.520632,0.643063,0.568768,0.936170,0.933333
46,0.577077,0.551306,0.551306,0.606343,0.493877,0.181129,0.936170,0.936594,0.916667,0.956522,0.990942,0.991117,0.936170,0.873188,0.354434,0.453932,0.615249,0.519483,0.957447,0.956522,0.557209,0.557209,0.609846,0.502283,0.184077,0.936170,0.935688,0.954545,0.913043,0.980072,0.981500,0.933333,0.872960,0.356922,0.455846,0.610799,0.517673,0.936170,0.933333
47,0.529141,0.582927,0.582927,0.954704,0.194986,0.209555,0.489362,0.500000,0.489362,1.000000,0.996377,0.996298,0.657143,0.000000,0.366816,0.611319,0.825891,0.701042,0.978723,0.978723,0.589289,0.589289,0.960684,0.201747,0.212220,0.489362,0.500000,0.489362,1.000000,0.987319,0.988613,0.657143,0.000000,0.343747,0.613375,0.820902,0.709562,0.957447,0.954545
48,0.511194,0.470900,0.470900,0.632385,0.302395,0.149324,0.851064,0.854167,0.766667,1.000000,0.990942,0.991117,0.867925,0.736923,0.299808,0.465448,0.746943,0.596003,0.957447,0.956522,0.481499,0.481499,0.641426,0.314618,0.154369,0.851064,0.854167,0.766667,1.000000,0.981884,0.983571,0.867925,0.736923,0.310352,0.470069,0.739338,0.586503,0.936170,0.933333
49,0.451405,0.455378,0.455378,0.297045,0.620594,0.141494,0.808511,0.804348,1.000000,0.608696,0.990942,0.991117,0.756757,0.665348,0.288220,0.255609,0.560234,0.364025,0.957447,0.956522,0.470066,0.470066,0.302725,0.644683,0.148141,0.808511,0.804348,1.000000,0.608696,0.978261,0.980138,0.756757,0.665348,0.222074,0.259876,0.550492,0.361624,0.936170,0.933333
50,0.456088,0.398709,0.398709,0.289798,0.512355,0.117548,0.829787,0.826087,1.000000,0.652174,0.990942,0.991117,0.789474,0.699379,0.250558,0.249283,0.625075,0.393789,0.957447,0.956522,0.415916,0.415916,0.296735,0.540279,0.125195,0.829787,0.826087,1.000000,0.652174,0.980072,0.981500,0.789474,0.699379,0.245618,0.254493,0.612650,0.383214,0.936170,0.933333
51,0.393749,0.684100,0.684100,0.098253,1.295418,0.247964,0.617021,0.608696,1.000000,0.217391,0.985507,0.985889,0.357143,0.352454,0.354612,0.093336,0.317468,0.143196,0.936170,0.936170,0.706220,0.706220,0.099594,1.339220,0.254299,0.617021,0.608696,1.000000,0.217391,0.978261,0.980138,0.357143,0.352454,0.358752,0.094597,0.310486,0.143196,0.936170,0.933333
52,0.411211,0.375896,0.375896,0.264207,0.492442,0.110060,0.829787,0.826087,1.000000,0.652174,0.990942,0.991117,0.789474,0.699379,0.245677,0.229461,0.642678,0.387837,0.957447,0.956522,0.396110,0.396110,0.270406,0.527280,0.118776,0.829787,0.826087,1.000000,0.652174,0.978261,0.980138,0.789474,0.699379,0.181700,0.234344,0.627287,0.385557,0.936170,0.933333
53,0.393262,0.351334,0.351334,0.468310,0.229272,0.100699,0.936170,0.937500,0.884615,1.000000,0.990942,0.991117,0.938776,0.879795,0.232959,0.365791,0.808562,0.600866,0.957447,0.956522,0.369057,0.369057,0.480211,0.253070,0.108727,0.872340,0.873188,0.840000,0.913043,0.980072,0.981500,0.875000,0.747733,0.202246,0.373049,0.794127,0.589145,0.936170,0.933333
54,0.393342,0.338684,0.338684,0.450138,0.222385,0.095945,0.936170,0.936594,0.916667,0.956522,0.990942,0.991117,0.936170,0.873188,0.223181,0.353567,0.814661,0.602602,0.957447,0.956522,0.357383,0.357383,0.462155,0.248055,0.104369,0.893617,0.894022,0.875000,0.913043,0.980072,0.981500,0.893617,0.788043,0.192543,0.361056,0.799239,0.590700,0.936170,0.933333
55,0.395661,0.413737,0.413737,0.157006,0.681630,0.134461,0.787234,0.782609,1.000000,0.565217,0.985507,0.985889,0.722222,0.631646,0.220865,0.143692,0.560757,0.266560,0.936170,0.936170,0.440862,0.440862,0.160252,0.733671,0.144976,0.765957,0.760870,1.000000,0.521739,0.976449,0.977964,0.685714,0.598134,0.195544,0.146649,0.542886,0.266560,0.936170,0.933333
56,0.356764,0.338448,0.338448,0.199106,0.483848,0.100287,0.851064,0.847826,1.000000,0.695652,0.989130,0.989692,0.820513,0.733873,0.195290,0.177291,0.660674,0.352363,0.957447,0.956522,0.364324,0.364324,0.204480,0.531118,0.110516,0.851064,0.847826,1.000000,0.695652,0.978261,0.980138,0.820513,0.733873,0.205493,0.181910,0.641173,0.352363,0.936170,0.933333
57,0.289712,0.281571,0.281571,0.317624,0.243950,0.074327,0.957447,0.957428,0.956522,0.956522,0.990942,0.991117,0.956522,0.914855,0.180283,0.262835,0.804637,0.544129,0.957447,0.956522,0.304577,0.304577,0.329035,0.279055,0.084310,0.936170,0.935688,0.954545,0.913043,0.978261,0.980138,0.933333,0.872960,0.175928,0.271165,0.785992,0.528438,0.936170,0.933333
58,0.285049,0.265469,0.265469,0.314647,0.214153,0.069338,0.936170,0.936594,0.916667,0.956522,0.990942,0.991117,0.936170,0.873188,0.161896,0.258757,0.826430,0.568506,0.957447,0.956522,0.289171,0.289171,0.327327,0.249357,0.079722,0.936170,0.935688,0.954545,0.913043,0.980072,0.981500,0.933333,0.872960,0.161931,0.268033,0.807497,0.544073,0.936170,0.933333
59,0.279750,0.257757,0.257757,0.342251,0.169588,0.067939,0.936170,0.936594,0.916667,0.956522,0.990942,0.991117,0.936170,0.873188,0.161408,0.274929,0.858710,0.618567,0.957447,0.956522,0.281504,0.281504,0.357452,0.202254,0.078623,0.914894,0.914855,0.913043,0.913043,0.981884,0.983571,0.913043,0.829710,0.141234,0.285635,0.840182,0.588945,0.936170,0.933333
60,0.255024,0.304979,0.304979,0.110330,0.508091,0.096371,0.829787,0.826087,1.000000,0.652174,0.990942,0.991117,0.789474,0.699379,0.155833,0.101746,0.668063,0.279947,0.957447,0.956522,0.338508,0.338508,0.114656,0.572091,0.107400,0.829787,0.826087,1.000000,0.652174,0.978261,0.980138,0.789474,0.699379,0.166761,0.105860,0.646159,0.275248,0.936170,0.933333
61,0.297616,0.253340,0.253340,0.157575,0.353269,0.071892,0.914894,0.913043,1.000000,0.826087,0.990942,0.991117,0.904762,0.841472,0.141969,0.140239,0.747605,0.389192,0.957447,0.956522,0.284129,0.284129,0.164067,0.409411,0.083333,0.893617,0.891304,1.000000,0.782609,0.978261,0.980138,0.878049,0.804783,0.145796,0.146137,0.725370,0.376125,0.936170,0.933333
62,0.341891,0.294076,0.294076,0.114678,0.481274,0.092032,0.829787,0.826087,1.000000,0.652174,0.990942,0.991117,0.789474,0.699379,0.147966,0.105173,0.683278,0.295445,0.957447,0.956522,0.329075,0.329075,0.118632,0.548668,0.103677,0.829787,0.826087,1.000000,0.652174,0.978261,0.980138,0.789474,0.699379,0.150738,0.108988,0.659965,0.295326,0.936170,0.933333
63,0.413514,0.248424,0.248424,0.196510,0.302596,0.067580,0.914894,0.913949,0.952381,0.869565,0.992754,0.992655,0.909091,0.832435,0.127126,0.170622,0.775918,0.280752,0.957447,0.958333,0.278429,0.278429,0.203541,0.356573,0.079390,0.914894,0.913043,1.000000,0.826087,0.978261,0.980138,0.904762,0.841472,0.167303,0.176801,0.752676,0.447165,0.936170,0.933333
